n,k,t
1,0,159.4
11,0,230.027272727273
21,0,280.9
31,0,374.741935483871
41,0,502.243902439024
51,0,606.733333333333
61,0,757.208196721311
71,0,938.532394366197
81,0,1026.00740740741
91,0,1149.5010989011
101,0,1369.12871287129
111,0,1501.23873873874
121,0,1657.69917355372
131,0,1798.18244274809
141,0,2050.66879432624
151,0,2153.77284768212
161,0,2334.53602484472
171,0,2444.59766081871
181,0,2523.92154696133
191,0,2805.91623036649
201,0,2762.76865671642
211,0,3043.49099526066
221,0,3127.83212669683
231,0,3441.11515151515
241,0,3333.14813278008
251,0,3554.52988047809
261,0,3707.44827586207
271,0,3856.56014760148
281,0,4047.31245551601
291,0,4219.37319587629
301,0,4248.16445182724
311,0,4386.23151125402
321,0,4576.93800623053
331,0,4758.23655589124
341,0,4908.53431085044
351,0,5083.46153846154
361,0,5239.83185595568
371,0,5403.55687331536
381,0,5527.28556430446
391,0,5655.52020460358
401,0,5846.16932668329
411,0,6065.57761557178
421,0,6098.05201900238
431,0,6245.09141531323
441,0,6515.92789115646
451,0,6721.83680709534
461,0,6801.24859002169
471,0,6928.55583864119
481,0,7015.58835758836
491,0,7217.28961303462
501,0,7141.33253493014
